Name,Description,Category
,My most embarrassing moment was when I ____ in front of my crush.,Awkward Moments
,I accidentally called my teacher ____.,Awkward Moments
,The worst time to ____ is during a job interview.,Awkward Moments
,I walked in on my parents ____.,Awkward Moments
,Nothing kills the mood like ____.,Awkward Moments
,I can't believe I ____ at my own wedding.,Awkward Moments
,The most awkward thing to do on a first date is ____.,Awkward Moments
,I accidentally sent ____ to my boss instead of my friend.,Awkward Moments
,My family will never let me forget the time I ____.,Awkward Moments
,The worst thing to say during a funeral is ____.,Awkward Moments
,I got caught ____ by my in-laws.,Awkward Moments
,Nothing says 'awkward silence' like ____.,Awkward Moments
,I accidentally liked my ex's photo from ____.,Awkward Moments
,The most embarrassing thing in my search history is ____.,Awkward Moments
,I can't believe I ____ in front of the entire wedding hall.,Awkward Moments
,The most Pakistani problem is ____.,Pakistani Problems
,You know you're in Pakistan when ____.,Pakistani Problems
,Nothing screams Pakistan like ____.,Pakistani Problems
,The struggle of living in Pakistan is ____.,Pakistani Problems
,Every Pakistani has experienced ____.,Pakistani Problems
,The most annoying thing about Pakistan is ____.,Pakistani Problems
,I moved to Pakistan and all I got was ____.,Pakistani Problems
,Pakistan would be perfect if it wasn't for ____.,Pakistani Problems
,The national sport of Pakistan is actually ____.,Pakistani Problems
,You can take the Pakistani out of Pakistan but you can't take ____ out of the Pakistani.,Pakistani Problems
,The real reason people leave Pakistan is ____.,Pakistani Problems
,Pakistan runs on ____ and chai.,Pakistani Problems
,The Pakistani solution to everything is ____.,Pakistani Problems
,Living in Pakistan has taught me ____.,Pakistani Problems
,The most Pakistani sentence ever is ____.,Pakistani Problems
,My parents think I'm always ____.,Parents
,parents will never understand ____.,Parents
,The worst thing to tell your parents is ____.,Parents
,My mom's solution to everything is ____.,Parents
,dads are obsessed with ____.,Parents
,I can never tell my parents about ____.,Parents
,parents think mental health is just ____.,Parents
,The fastest way to disappoint your parents is ____.,Parents
,My parents compared me to ____ again.,Parents
,moms will blame everything on ____.,Parents
,The scariest thing a parent can say is ____.,Parents
,My dad's favorite hobby is ____.,Parents
,parents think success means ____.,Parents
,I'm hiding ____ from my parents.,Parents
,My mom thinks I'm sick because of ____.,Parents
,The worst thing that can happen at a Pakistani wedding is ____.,Wedding Drama
,Every Pakistani wedding has ____.,Wedding Drama
,The drama at my cousin's wedding was caused by ____.,Wedding Drama
