Description,Category
How interested are you in living on the first Mars colony?,0 to 100
How comfortable are you with elderly people?,0 to 100
How many times per year do you go to the cinema?,Number
What is your ideal number of vacation days per year?,Number
How likely are you to become a spy?,0 to 100
How much do you love Chai?,0 to 100
How afraid are you of a 'Chipkali' (Lizard)?,0 to 100
How good are you at bargaining in the market?,0 to 100
How strict were your parents while growing up?,0 to 100
How likely are you to arrive late to a wedding?,0 to 100
How much spice can you handle in your food?,0 to 100
How likely are you to complain about the food at a Daawat?,0 to 100
How much do you panic when the electricity goes (Load Shedding)?,0 to 100
How likely are you to check your phone immediately after waking up?,0 to 100
How much do you enjoy family gatherings?,0 to 100
How likely are you to forget a friend's birthday?,0 to 100
How obsessed are you with cricket?,0 to 100
How much time do you spend on social media daily?,0 to 100
How likely are you to eat the last piece of pizza without asking?,0 to 100
How much do you trust a street food vendor's hygiene?,0 to 100
How likely are you to recommend a restaurant you've never been to?,0 to 100
To what degree would you describe yourself as a 'Sore Loser'?,0 to 100
How many years of your life would you give up to speak every language?,Number
How likely are you to laugh at a serious moment?,0 to 100
How much do you hate waking up early?,0 to 100
How many first cousins do you have?,Number
How many unread emails are in your inbox right now?,Number
How many times have you watched '3 Idiots'?,Number
How many pairs of shoes do you own?,Number
How many weddings did you attend last year?,Number
How many hours of sleep did you get last night?,Number
How many photos are in your phone's camera roll?,Number
How many times have you been to the Northern Areas?,Number
How many languages can you speak fluently?,Number
How many different cities have you lived in?,Number
How many WhatsApp groups are you currently in?,Number
How many cups of Chai do you drink in a typical day?,Number
How many suits/kurtas do you own?,Number
How many contacts are saved in your phone?,Number
How many times have you broken a bone?,Number
How many countries have you visited?,Number
How many years have you been using a smartphone?,Number
How many followers do you have on your main social media account?,Number
How many books did you read last year?,Number
How many times do you eat out (restaurant/takeout) per week?,Number
How many siblings do you have?,Number
How many years have you known your best friend?,Number
How many times have you lost your wallet or phone?,Number
How many apps do you have installed on your phone?,Number
How many selfies do you take in a week?,Number
How many pairs of sunglasses do you own?,Number
How many times have you cooked a full meal this month?,Number
How many alarming clocks do you set to wake up?,Number
How many cricket matches have you watched live in a stadium?,Number
How many times have you run out of fuel?,Number
How many pets have you owned in your life?,Number
How many times have you been on a plane?,Number
How many plants are in your house?,Number
How many scars do you have?,Number
How many slices of pizza can you eat in one sitting?,Number
How many glasses of water do you drink daily?,Number
How many weird nicknames do you have?,Number
How many hours a day do you spend watching reels/TikToks?,Number
How many times have you changed your hairstyle this year?,Number
How many items are currently in your online shopping cart?,Number
How many times have you re-watched your favorite TV show?,Number
How many times have you won a trophy or medal?,Number
How many times have you been on TV?,Number
How many times have you met a celebrity?,Number
How many times have you forgotten someone's name immediately after meeting them?,Number
How many times have you bought something you never used?,Number
How many times have you successfully flipped a bottle?,Number
How many times have you corrected someone's grammar?,Number
How many times have you eaten ice cream for breakfast?,Number
How many times have you taken a photo of your food before eating?,Number
How many times have you eaten Biryani with a spoon instead of hands?,Number
How many times have you incorrectly plugged in a USB?,Number
How many times have you missed a flight or train?,Number
How many times have you lost your luggage?,Number
How many times have you parallel parked perfectly on the first try?,Number
How many times have you been pulled over by traffic police?,Number
How many times have you had a flat tire?,Number
How many times have you jump-started a car?,Number
How many times have you ridden a motorbike without a helmet?,Number
How many times have you driven a manual car?,Number
How many times have you taken a tuk-tuk/rickshaw?,Number
How many times have you sat on the roof of a bus or car?,Number
How many samosas can you eat in one sitting?,Number
How many plates of Biryani is your record?,Number
How many Gulab Jamuns can you fit in your mouth?,Number
How many parathas do you eat for breakfast?,Number
How many times do you drink coffee in a week?,Number
How many times have you donated to charity this year?,Number
How many times have you helped a stranger?,Number
How many times have you spoken in public (speech/presentation)?,Number
How many times have you performed on stage?,Number
How many times have you won a competition?,Number
How many times have you been rejected?,Number
How many times have you quit a job?,Number
How many times have you pulled an all-nighter?,Number
How many times have you slept for more than 12 hours straight?,Number
How many times have you had lucid dreams?,Number
How many times have you wished on a shooting star?,Number
How many times have you won a lottery or raffle?,Number
How many times have you saved someone's life?,Number
How many times have you been in a physical fight?,Number
How many times have you stitched a wound?,Number
How many times have you fainted?,Number
How many times have you had surgery?,Number
How many times have you dyed your hair?,Number
How many times have you grown a beard?,Number
How many times have you pierced your ears?,Number
How many tattoos do you have?,Number
How many allergies do you have?,Number
How many phobias do you have?,Number
How many meaningful conversations have you had this week?,Number
How many times have you said 'I love you' today?,Number
How likely are you to pick up a spider?,0 to 100
How much do you believe in aliens?,0 to 100
How good are you at math without a calculator?,0 to 100
How messy is your room right now?,0 to 100
How likely are you to skydive?,0 to 100
How much do you enjoy horror movies?,0 to 100
How good are you at keeping plants alive?,0 to 100
How likely are you to return a wallet you found?,0 to 100
How much do you care about what others think of you?,0 to 100
How likely are you to hold a grudge?,0 to 100
How good are you at lying?,0 to 100
How much do you enjoy shopping?,0 to 100
How likely are you to cry at a wedding?,0 to 100
How patient are you?,0 to 100
How competitive are you?,0 to 100
How superstitious are you?,0 to 100
How good is your sense of direction?,0 to 100
How likely are you to be the life of the party?,0 to 100
How much do you enjoy solitude?,0 to 100
How likely are you to impulse buy?,0 to 100
How much do you procrastinate?,0 to 100
How organized are you?,0 to 100
How good are you at remembering dates?,0 to 100
How likely are you to sing in karaoke?,0 to 100
How much do you love rainy days?,0 to 100
How likely are you to adopt a stray animal?,0 to 100
How good are you at keeping secrets?,0 to 100
How likely are you to binge-watch a series in one day?,0 to 100
How adventurous are you with food?,0 to 100
How afraid are you of the dark?,0 to 100
How likely are you to break your phone screen?,0 to 100
How much do you know about politics?,0 to 100
How good are you at saving money?,0 to 100
How likely are you to give up your seat for an elderly person?,0 to 100
How much do you enjoy cooking?,0 to 100
How likely are you to read the terms and conditions?,0 to 100
How much do you trust the news?,0 to 100
How good are you at public speaking?,0 to 100
How likely are you to initiate a conversation?,0 to 100
How much do you value brand names?,0 to 100
How likely are you to delete social media?,0 to 100
How happy are you right now?,0 to 100
How lucky do you consider yourself?,0 to 100
How creative are you?,0 to 100
How logical are you?,0 to 100
How emotional are you?,0 to 100
How likely are you to move to another country?,0 to 100
How much do you like your job/studies?,0 to 100
How confident are you in your looks?,0 to 100
How much do you regret your last big purchase?,0 to 100
How comfortable are you with silence?,0 to 100
How likely are you to share your food?,0 to 100
How much do you gossip?,0 to 100
How likely are you to confront someone?,0 to 100
How good a driver are you?,0 to 100
How much do you know about history?,0 to 100
How fit are you?,0 to 100
How likely are you to help someone move house?,0 to 100
How much do you love chocolate?,0 to 100
How likely are you to become famous?,0 to 100
How likely are you to learn a new language this year?,0 to 100
How good are you at haggling?,0 to 100
How likely are you to wear traditional clothes daily?,0 to 100
How comfortable are you with spicy food?,0 to 100
How many weddings have you been a host for?,Number
How likely are you to arrive on time for a 'Desi' event?,0 to 100
How many times have you been to a 'Mela' (Fair)?,Number
How good are you at making round Rotis?,0 to 100
How likely are you to watch a cricket match replay?,0 to 100
How many cricket bats have you owned?,Number
How much do you enjoy street cricket?,0 to 100
How likely are you to argue about cricket rules?,0 to 100
How many times have you broken a window playing cricket?,Number
How many family WhatsApp groups have you muted?,Number
How likely are you to forward a 'Good Morning' message?,0 to 100
How many times have you forgotten to reply to a message?,Number
How good are you at keeping new year resolutions?,0 to 100
How likely are you to start a gym membership?,0 to 100
How many times have you gone to the gym this month?,Number
How unlikely are you to skip leg day?,0 to 100
How much do you trust online reviews?,0 to 100
How likely are you to try a new gadget without reading the manual?,0 to 100
How many apps do you have that you never use?,Number
How good are you at taking selfies?,0 to 100
How likely are you to post a picture without a filter?,0 to 100
How many social media accounts do you have?,Number
How likely are you to go viral?,0 to 100
How many times have you changed your profile picture this month?,Number
How much do you enjoy watching vlogs?,0 to 100
How likely are you to start a YouTube channel?,0 to 100
How good are you at video editing?,0 to 100
How likely are you to play video games all weekend?,0 to 100
How many gaming consoles have you owned?,Number
How good are you at board games?,0 to 100
How likely are you to cheat at Ludo?,0 to 100
How many times have you flipped the Ludo board in anger?,Number
How much do you enjoy playing Carrom?,0 to 100
How good are you at Antakshari?,0 to 100
How likely are you to sing in public?,0 to 100
How many songs do you know all the lyrics to?,Number
How much do you enjoy classical music?,0 to 100
How likely are you to attend a Qawwali night?,0 to 100
How many concerts have you attended?,Number
How good are you at dancing at weddings?,0 to 100
How likely are you to lead a Mehndi dance?,0 to 100
How many pairs of 'Khussas' do you own?,Number
How much do you enjoy wearing heavy jewelry?,0 to 100
How likely are you to wear a Sherwani casually?,0 to 100
How many ties do you own?,Number
How good are you at tying a tie?,0 to 100
How likely are you to wear sneakers with Shalwar Kameez?,0 to 100
How much do you care about fashion trends?,0 to 100
How likely are you to design your own clothes?,0 to 100
How many times have you visited a tailor this month?,Number
How good are you at sewing a button?,0 to 100
How likely are you to iron your clothes immediately after washing?,0 to 100
How much do you hate ironing?,0 to 100
How likely are you to do laundry on weekends?,0 to 100
How many loads of laundry do you do per week?,Number
How good are you at folding fitted sheets?,0 to 100
How likely are you to hire a cleaner?,0 to 100
How messy is your car right now?,0 to 100
How likely are you to wash your car yourself?,0 to 100
How many times have you washed your car this month?,Number
How likely are you to fix a flat tire yourself?,0 to 100
How good are you at basic car maintenance?,0 to 100
How likely are you to drive a manual transmission?,0 to 100
How many road trips have you taken this year?,Number
How much do you enjoy long drives?,0 to 100
How likely are you to get road rage?,0 to 100
How good are you at navigating without GPS?,0 to 100
How likely are you to ask for directions?,0 to 100
How much do you trust Google Maps ETA?,0 to 100
How likely are you to travel solo?,0 to 100
How many continents have you visited?,Number
