Name,Description
Problem,I could really use a smaller _____!
Problem,I wish _____ were more fun!
Problem,I would like to support _____!
Problem,I would like to know when _____ happens!
Problem,I want people to know about my _____!
Problem,I keep ruining _____!
Problem,I’ve always wanted to explore _____!
Problem,I’m tired of getting _____ every single day!
Problem,I wish I was more _____!
Problem,I keep getting _____ on me!
Problem,I am not looking forward to _____!
Problem,_____ just doesn’t satisfy me anymore!
Problem,I’m tired of people borrowing my _____!
Problem,I never know what to buy for _____!
Problem,I keep getting interrupted when I _____!
Problem,I require a very fancy _____!
Problem,There’s a real risk I might _____!
Problem,I never know how much to _____!
Problem,I can’t hold on to _____!
Problem,"I need to change _____, now!"
Problem,I can’t stand how slow _____ is!
Problem,People are always staring at my _____!
Problem,I miss the good ol’ days of _____!
Problem,My _____ leaks!
Problem,I want to be the first person to _____!
Problem,I wish I had the energy to _____!
Problem,My spouse keeps forgetting my _____!
Problem,I need a place just for my _____!
Problem,I need to organize _____!
Problem,I think my parents might be getting _____!
Problem,_____ is just too crowded.
Problem,There’s never enough time to _____!
Problem,I hate getting older because of _____!
Problem,My job needs more _____!
Problem,I always forget _____ when I travel!
Problem,I’m only happy when I _____!
Problem,I get so sleepy when I have to _____!
Problem,"When I get angry, I _____!!!"
Problem,My house always smells like _____!
Problem,Wild animals keep eating my _____!
Problem,My vacations are always ruined by _____!
Problem,I want to get in shape while I _____!
Problem,I regret that I never _____!
Problem,_____ always make me cry!
Problem,I’m worried I’m not prepared for _____!
Problem,I want to safely _____!
Problem,I want to help the environment while I _____!
Problem,I have trouble climbing _____!
Problem,I need to defend myself from _____!
Problem,"When I speak in public, I _____."
Problem,I’m tired of having my son explain _____ to me!
Problem,I hate rishta hunting because of _____!
Problem,I don’t invite people over because of _____!
Problem,I need a way to get out of _____!
Problem,I wish my kids would _____!
Problem,"As I get older, I need more _____!"
Problem,I can’t sleep without _____!
Problem,Constant _____ is stressing me out!
Problem,I dread the holidays because of _____!
Problem,I don’t enjoy _____ anymore!
Problem,I mess up my job interviews when I _____!
Problem,I can’t get _____ out of my clothes!
Problem,I want to _____ like I used to!
Problem,I’m tired of my spouse taking my _____!
Problem,I just want to _____ all day!
Problem,I waste too much time _____!
Problem,I’m scared to start _____!
Problem,I’m dissatisfied with the quality of _____.
Problem,I have a terrible relationship with _____!
Problem,I have to get up in the middle of the night to _____!
Problem,I’m disgusted by _____.
Problem,I’m angry about _____!
Problem,I’m too tired to _____!
Problem,_____ happens too frequently.
Problem,I am obsessed with _____!
Problem,I think _____ is just too dangerous!
Problem,I want to walk and _____ at the same time!
Problem,I can never find a good _____!
Problem,All I do is work on my _____!
Problem,"I’m due in court, but I have a _____!"
Problem,_____ is too cold!
Problem,I’m tired of endless _____!
Problem,There’s always a _____ outside my window!
Problem,I really need access to _____!
Problem,I wish I knew more about _____!
Problem,I hate that everyone calls me _____!
Problem,I want to be in the _____ Hall of Fame!
Problem,I love having a pool but I hate _____!
Problem,My lunch break is always interrupted by _____!
Problem,I worry about running into _____ in a dark alley!
Problem,I’m scared of finding _____ in my basement!
Problem,My cat won’t stop _____!
Problem,I always _____ at weddings!
Problem,I always get hungry while I _____!
Problem,I wish I could reuse _____!
Problem,I hate shopping because of _____!
Problem,I can’t stop thinking about _____!
Problem,My family needs more _____!
Problem,Nothing embarrasses me more than _____!
Problem,I want to drive and _____ at the same time!
Problem,I can’t sleep because of _____!
Problem,I don’t trust _____!
Problem,I have too many _____!
Problem,I wish I could meet _____!
Problem,"I need to get _____, fast!"
Problem,I have too many _____ lying around my house!
Problem,The worst part of work is _____!
Problem,I can’t relax because of _____!
Problem,I wish I knew what it was like to _____!
Problem,I’m tired of hearing about _____!
Problem,I’m always attracting _____!
Problem,I’m constantly cleaning my _____!
Problem,I would love to _____ like a professional!
Problem,I want to live like _____!
Problem,I wish I could get my _____ back!
Problem,The worst part of winter is _____!!!
Problem,I find _____ to be incredibly dangerous!
Problem,My biggest fear is _____!
Problem,It’s embarrassing to be at a wedding and not have _____!
Problem,I hate going camping because of _____!
Problem,I annoy people when I _____!
