Name,Category
What is your favorite kitchen utensil?,Ice Breakers & Fun General
"If the world were full of clones of you, what would that world be like?",Ice Breakers & Fun General
"If you could have any superpower, what would it be?",Ice Breakers & Fun General
When was the last time you did something for the first time? What was it?,Ice Breakers & Fun General
What is your favorite animal? List three adjectives to explain your choice.,Ice Breakers & Fun General
What is your favorite color? List three adjectives to explain your choice.,Ice Breakers & Fun General
What was the best thing that happened to you this weekend?,Ice Breakers & Fun General
"If you were to perform in the circus (or a talent show), what would be your act?",Ice Breakers & Fun General
What do you consider the most valuable thing you own?,Ice Breakers & Fun General
What's the kindest act you have ever seen done?,Ice Breakers & Fun General
"If you could have any job in the world, real or imagined, what would you want?",Ice Breakers & Fun General
What were your best and worst subjects in school?,Ice Breakers & Fun General
"If you were just given a yacht or a boat, what would you name it?",Ice Breakers & Fun General
Was there any kind of candy or sweet that you didn't like to get as a kid?,Ice Breakers & Fun General
What is the weirdest food you've ever eaten?,Ice Breakers & Fun General
What do you keep in the trunk/boot of your car?,Ice Breakers & Fun General
"When you were in grade school, what did you want to be when you grew up?",Ice Breakers & Fun General
"If you were given 24 hours to live, what would you do?",Ice Breakers & Fun General
What do you think the ultimate gift is?,Ice Breakers & Fun General
Tell something that nobody knows about you.,Ice Breakers & Fun General
What is your earliest childhood memory?,Ice Breakers & Fun General
What was your favorite TV show when you were growing up?,Ice Breakers & Fun General
"If you had one extra hour of free time a day, how would you use it?",Ice Breakers & Fun General
Name the most famous person you've had a face-to-face encounter with.,Ice Breakers & Fun General
Name your favorite children's story.,Ice Breakers & Fun General
"If you could spend 15 minutes with any person, living or not, who would it be and why?",Ice Breakers & Fun General
What article of clothing most closely describes your personality?,Ice Breakers & Fun General
If you were to write a book what would it be about?,Ice Breakers & Fun General
What is the first thing you think of when you wake up in the morning?,Ice Breakers & Fun General
"If you won a million dollars (or crores), what would you do with it?",Ice Breakers & Fun General
Who is/was your favorite teacher and why?,Ice Breakers & Fun General
Who do you admire the most?,Ice Breakers & Fun General
What was your nickname growing up or now?,Ice Breakers & Fun General
"Based on something you've already done, how might you make it into the Guinness Book of World Records?",Ice Breakers & Fun General
What is your favorite weird food combination?,Ice Breakers & Fun General
"If you had to be a flower, which one would you like to be and why?",Ice Breakers & Fun General
My biggest pet peeve is...,Ice Breakers & Fun General
How would you like to be remembered?,Ice Breakers & Fun General
What's your favorite sport?,Ice Breakers & Fun General
What punctuation mark best describes your personality? Why?,Ice Breakers & Fun General
"If you could plan your ultimate vacation, where would you go?",Ice Breakers & Fun General
What is something you have that is of sentimental value?,Ice Breakers & Fun General
What is your most embarrassing moment?,Ice Breakers & Fun General
What do you miss most about childhood?,Ice Breakers & Fun General
What one modern convenience could you not live without?,Ice Breakers & Fun General
"If you could meet anyone from history, who would you meet and why?",Ice Breakers & Fun General
What specific thing have you done that impressed yourself?,Ice Breakers & Fun General
